Player,Squad
Teresa Abilleira,Real Madrid
Jone Amezaga,Athletic Club
Ivana Andreas,Real Madrid
Paula Arana,Athletic Club
Eunate Arraiza,Athletic Club
Maria Asuncion QuiÒones,Athletic Club
Ane Azkona,Athletic Club
Ainize Barea Nunez,Athletic Club
Olga Carmona,Real Madrid
Mariana Cerro,Athletic Club
Claudia,Real Madrid
Yulema Corres,Athletic Club
Athenea del Castillo,Real Madrid
Nekane Daez,Athletic Club
Ane Elexpuru,Athletic Club
Naomie Feller,Real Madrid
Rocio Galvez,Real Madrid
Nahikari Garcia,Real Madrid
Moline Gerard,Real Madrid
Esther Gonz?≠lez,Real Madrid
Oihane Hernandez,Athletic Club
Kathellen,Real Madrid
Naia Landaluze,Athletic Club
Leyre Monente,Athletic Club
Caroline Muller,Real Madrid
Nerea Nevado,Athletic Club
Irene Oguiza,Athletic Club
Freja Olofsson,Real Madrid
Maite Oroz,Real Madrid
Sara Ortega,Athletic Club
Clara Pinedo,Athletic Club
Kenti Robles,Real Madrid
Lucia Rodriguez,Real Madrid
Misa Rodriguez,Real Madrid
Bibiane Schulze-Solano,Athletic Club
Sofie Svava,Real Madrid
Sandie Toletti,Real Madrid
Marta Unzua,Athletic Club
Itxaso Uriarte,Athletic Club
Naroa Uriarte,Athletic Club
Oihane Valdezate,Athletic Club
Caroline Weir,Real Madrid
Claudia Zornoza,Real Madrid
Maite Zubieta,Athletic Club
Michelle Agyemang,Arsenal
Jennifer Beattie,Arsenal
Stina Blackstenius,Arsenal
Steph Catley,Arsenal
Caitlin Foord,Arsenal
Lina Hurtig,Arsenal
Mana Iwabuchi,Arsenal
Kim Little,Arsenal
Frida Maanum,Arsenal
Noelle Maritz,Arsenal
Katie McCabe,Arsenal
Beth Mead,Arsenal
Vivianne Miedema,Arsenal
Jordan Nobbs,Arsenal
Rafaelle Souza,Arsenal
Laura Wienroither,Arsenal
Leah Williamson,Arsenal
Lotte Wubben-Moy,Arsenal
Manuela Zinsberger,Arsenal
Ramona Bachmann,Paris S-G
Sandy Baltimore,Paris S-G
Sarah Bouhaddi,Paris S-G
Estelle Cascarino,Paris S-G
??lisa De Almeida,Paris S-G
Kadidiatou Diani,Paris S-G
Paulina Dudek,Paris S-G
Laurina Fazer,Paris S-G
Magnaba Folquet,Paris S-G
Marina Georgieva,Paris S-G
Grace Geyoro,Paris S-G
Jackie Groenen,Paris S-G
Kheira Hamraoui,Paris S-G
Amanda Ilestedt,Paris S-G
Oriane Jean-Francois,Paris S-G
Sakina Karchaoui,Paris S-G
Ashley Lawrence,Paris S-G
Yang Lina,Paris S-G
Lieke Martens,Paris S-G
Li Mengwen,Paris S-G
Soufiya Ngueleu,Paris S-G
Constance Picaud,Paris S-G
Benedicte Simon,Paris S-G
Manssita Traore,Paris S-G
Lydia Williams,Paris S-G
Emilie Bragstad,Bayern Munich
Klara Bahl,Bayern Munich
Linda Dallmann,Bayern Munich
Jovana Damnjanovic,Bayern Munich
Maria-Luisa Grohs,Bayern Munich
Giulia Gwinn,Bayern Munich
Jana Kappes,Bayern Munich
Franziska Kett,Bayern Munich
Saki Kumagai,Bayern Munich
Julia Landenberger,Bayern Munich
Emelyne Laurent,Bayern Munich
Sydney Lohmann,Bayern Munich
Lina Magull,Bayern Munich
Maximiliane Rall,Bayern Munich
Lea Sch?¨ller,Bayern Munich
Carolin Simon,Bayern Munich
Georgia Stanway,Bayern Munich
Tainara,Bayern Munich
Sarah Zadrazil,Bayern Munich
Greta Adami,AC Milan
Kosovare Asllani,AC Milan
Valentina Bergamaschi,AC Milan
Noemie Carage,AC Milan
Kamila Dubcova,AC Milan
Michaela Dubcova,AC Milan
Laura Fusetti,AC Milan
Laura Giuliani,AC Milan
Christy Grimshaw,AC Milan
Alia Guagni,AC Milan
Marta Mascarello,AC Milan
Maè?gorzata Mesjasz,AC Milan
Martina Piemonte,AC Milan
Silvia Rubio,AC Milan
Angelica Soffia,AC Milan
Lindsey Thomas,AC Milan
Sara Thrige,AC Milan
Linda Tucceri Cimini,AC Milan
Valery Vigilucci,AC Milan
